,close,trend
11/25/15,5116.140137,
11/27/15,5127.52002,1
11/30/15,5108.669922,-1
12/1/15,5156.310059,1
12/2/15,5123.220215,-1
12/3/15,5037.529785,-1
12/4/15,5142.27002,1
12/7/15,5101.810059,-1
12/8/15,5098.240234,-1
12/9/15,5022.870117,-1
12/10/15,5045.169922,1
12/11/15,4933.470215,-1
12/14/15,4952.22998,1
12/15/15,4995.359863,1
12/16/15,5071.129883,1
12/17/15,5002.549805,-1
12/18/15,4923.080078,-1
12/21/15,4968.919922,1
12/22/15,5001.109863,1
12/23/15,5045.930176,1
12/24/15,5048.490234,1
12/28/15,5040.990234,-1
12/29/15,5107.939941,1
12/30/15,5065.850098,-1
12/31/15,5007.410156,-1
1/4/16,4903.089844,-1
1/5/16,4891.430176,-1
1/6/16,4835.759766,-1
1/7/16,4689.430176,-1
1/8/16,4643.629883,-1
1/11/16,4637.990234,-1
1/12/16,4685.919922,1
1/13/16,4526.060059,-1
1/14/16,4615,1
1/15/16,4488.419922,-1
1/19/16,4476.950195,-1
1/20/16,4471.689941,-1
1/21/16,4472.060059,1
1/22/16,4591.180176,1
1/25/16,4518.490234,-1
1/26/16,4567.669922,1
1/27/16,4468.169922,-1
1/28/16,4506.680176,1
1/29/16,4613.950195,1
2/1/16,4620.370117,1
2/2/16,4516.950195,-1
2/3/16,4504.240234,-1
2/4/16,4509.560059,1
2/5/16,4363.140137,-1
2/8/16,4283.75,-1
2/9/16,4268.759766,-1
2/10/16,4283.589844,1
2/11/16,4266.839844,-1
2/12/16,4337.509766,1
2/16/16,4435.959961,1
2/17/16,4534.060059,1
2/18/16,4487.540039,-1
2/19/16,4504.430176,1
2/22/16,4570.609863,1
2/23/16,4503.580078,-1
2/24/16,4542.609863,1
2/25/16,4582.200195,1
2/26/16,4590.470215,1
2/29/16,4557.950195,-1
3/1/16,4689.600098,1
3/2/16,4703.419922,1
3/3/16,4707.419922,1
3/4/16,4717.02002,1
3/7/16,4708.25,-1
3/8/16,4648.819824,-1
3/9/16,4674.379883,1
3/10/16,4662.160156,-1
3/11/16,4748.470215,1
3/14/16,4750.279785,1
3/15/16,4728.669922,-1
3/16/16,4763.970215,1
3/17/16,4774.990234,1
3/18/16,4795.649902,1
3/21/16,4808.870117,1
3/22/16,4821.660156,1
3/23/16,4768.859863,-1
3/24/16,4773.5,1
3/28/16,4766.790039,-1
3/29/16,4846.620117,1
3/30/16,4869.290039,1
3/31/16,4869.850098,1
4/1/16,4914.540039,1
4/4/16,4891.799805,-1
4/5/16,4843.930176,-1
4/6/16,4920.720215,1
4/7/16,4848.370117,-1
4/8/16,4850.689941,1
4/11/16,4833.399902,-1
4/12/16,4872.089844,1
4/13/16,4947.419922,1
4/14/16,4945.890137,-1
4/15/16,4938.220215,-1
4/18/16,4960.02002,1
4/19/16,4940.330078,-1
4/20/16,4948.129883,1
4/21/16,4945.890137,-1
4/22/16,4906.22998,-1
4/25/16,4895.790039,-1
4/26/16,4888.279785,-1
4/27/16,4863.140137,-1
4/28/16,4805.290039,-1
4/29/16,4775.359863,-1
5/2/16,4817.589844,1
5/3/16,4763.220215,-1
5/4/16,4725.640137,-1
5/5/16,4717.089844,-1
5/6/16,4736.160156,1
5/9/16,4750.209961,1
5/10/16,4809.879883,1
5/11/16,4760.689941,-1
5/12/16,4737.330078,-1
5/13/16,4717.680176,-1
5/16/16,4775.459961,1
5/17/16,4715.72998,-1
5/18/16,4739.120117,1
5/19/16,4712.529785,-1
5/20/16,4769.560059,1
5/23/16,4765.779785,-1
5/24/16,4861.060059,1
5/25/16,4894.890137,1
5/26/16,4901.77002,1
5/27/16,4933.5,1
5/31/16,4948.049805,1
6/1/16,4952.25,1
6/2/16,4971.359863,1
6/3/16,4942.52002,-1
6/6/16,4968.709961,1
6/7/16,4961.75,-1
6/8/16,4974.640137,1
6/9/16,4958.620117,-1
6/10/16,4894.549805,-1
6/13/16,4848.439941,-1
6/14/16,4843.549805,-1
6/15/16,4834.930176,-1
6/16/16,4844.919922,1
6/17/16,4800.339844,-1
6/20/16,4837.209961,1
6/21/16,4843.759766,1
6/22/16,4833.319824,-1
6/23/16,4910.040039,1
6/24/16,4707.97998,-1
6/27/16,4594.439941,-1
6/28/16,4691.870117,1
6/29/16,4779.25,1
6/30/16,4842.669922,1
7/1/16,4862.569824,1
7/5/16,4822.899902,-1
7/6/16,4859.160156,1
7/7/16,4876.810059,1
7/8/16,4956.759766,1
7/11/16,4988.640137,1
7/12/16,5022.819824,1
7/13/16,5005.72998,-1
7/14/16,5034.060059,1
7/15/16,5029.589844,-1
7/18/16,5055.779785,1
7/19/16,5036.370117,-1
7/20/16,5089.930176,1
7/21/16,5073.899902,-1
7/22/16,5100.160156,1
7/25/16,5097.629883,-1
7/26/16,5110.049805,1
7/27/16,5139.810059,1
7/28/16,5154.97998,1
7/29/16,5162.129883,1
8/1/16,5184.200195,1
8/2/16,5137.72998,-1
8/3/16,5159.740234,1
8/4/16,5166.25,1
8/5/16,5221.120117,1
8/8/16,5213.140137,-1
8/9/16,5225.47998,1
8/10/16,5204.580078,-1
8/11/16,5228.399902,1
8/12/16,5232.890137,1
8/15/16,5262.02002,1
8/16/16,5227.109863,-1
8/17/16,5228.660156,1
8/18/16,5240.149902,1
8/19/16,5238.379883,-1
8/22/16,5244.600098,1
8/23/16,5260.080078,1
8/24/16,5217.689941,-1
8/25/16,5212.200195,-1
8/26/16,5218.919922,1
8/29/16,5232.330078,1
8/30/16,5222.990234,-1
8/31/16,5213.220215,-1
9/1/16,5227.209961,1
9/2/16,5249.899902,1
9/6/16,5275.910156,1
9/7/16,5283.930176,1
9/8/16,5259.47998,-1
9/9/16,5125.910156,-1
9/12/16,5211.890137,1
9/13/16,5155.25,-1
9/14/16,5173.77002,1
9/15/16,5249.689941,1
9/16/16,5244.569824,-1
9/19/16,5235.029785,-1
9/20/16,5241.350098,1
9/21/16,5295.180176,1
9/22/16,5339.52002,1
9/23/16,5305.75,-1
9/26/16,5257.490234,-1
9/27/16,5305.709961,1
9/28/16,5318.549805,1
9/29/16,5269.149902,-1
9/30/16,5312,1
10/3/16,5300.870117,-1
10/4/16,5289.660156,-1
10/5/16,5316.02002,1
10/6/16,5306.850098,-1
10/7/16,5292.399902,-1
10/10/16,5328.669922,1
10/11/16,5246.790039,-1
10/12/16,5239.02002,-1
10/13/16,5213.330078,-1
10/14/16,5214.160156,1
10/17/16,5199.819824,-1
10/18/16,5243.839844,1
10/19/16,5246.410156,1
10/20/16,5241.830078,-1
10/21/16,5257.399902,1
10/24/16,5309.830078,1
10/25/16,5283.399902,-1
10/26/16,5250.27002,-1
10/27/16,5215.970215,-1
10/28/16,5190.100098,-1
10/31/16,5189.140137,-1
11/1/16,5153.580078,-1
11/2/16,5105.569824,-1
11/3/16,5058.410156,-1
11/4/16,5046.370117,-1
11/7/16,5166.169922,1
11/8/16,5193.490234,1
11/9/16,5251.069824,1
11/10/16,5208.799805,-1
11/11/16,5237.109863,1
11/14/16,5218.399902,-1
11/15/16,5275.620117,1
11/16/16,5294.580078,1
11/17/16,5333.970215,1
11/18/16,5321.509766,-1
11/21/16,5368.859863,1
11/22/16,5386.350098,1
11/23/16,5380.680176,-1
11/25/16,5398.919922,1
11/28/16,5368.810059,-1
11/29/16,5379.919922,1
11/30/16,5323.680176,-1
12/1/16,5251.109863,-1
12/2/16,5255.649902,1
12/5/16,5308.890137,1
12/6/16,5333,1
12/7/16,5393.759766,1
12/8/16,5417.359863,1
12/9/16,5444.5,1
12/12/16,5412.540039,-1
12/13/16,5463.830078,1
12/14/16,5436.669922,-1
12/15/16,5456.850098,1
12/16/16,5437.160156,-1
12/19/16,5457.439941,1
12/20/16,5483.939941,1
12/21/16,5471.430176,-1
12/22/16,5447.419922,-1
12/23/16,5462.689941,1
12/27/16,5487.439941,1
12/28/16,5438.560059,-1
12/29/16,5432.089844,-1
12/30/16,5383.120117,-1
1/3/17,5429.080078,1
1/4/17,5477,1
1/5/17,5487.939941,1
1/6/17,5521.060059,1
1/9/17,5531.819824,1
1/10/17,5551.819824,1
1/11/17,5563.649902,1
1/12/17,5547.490234,-1
1/13/17,5574.120117,1
1/17/17,5538.72998,-1
1/18/17,5555.649902,1
1/19/17,5540.080078,-1
1/20/17,5555.330078,1
1/23/17,5552.939941,-1
1/24/17,5600.959961,1
1/25/17,5656.339844,1
1/26/17,5655.180176,-1
1/27/17,5660.779785,1
1/30/17,5613.709961,-1
1/31/17,5614.790039,1
2/1/17,5642.649902,1
2/2/17,5636.200195,-1
2/3/17,5666.77002,1
2/6/17,5663.549805,-1
2/7/17,5674.220215,1
2/8/17,5682.450195,1
2/9/17,5715.180176,1
2/10/17,5734.129883,1
2/13/17,5763.959961,1
2/14/17,5782.569824,1
2/15/17,5819.439941,1
2/16/17,5814.899902,-1
2/17/17,5838.580078,1
2/21/17,5865.950195,1
2/22/17,5860.629883,-1
2/23/17,5835.509766,-1
2/24/17,5845.310059,1
2/27/17,5861.899902,1
2/28/17,5825.439941,-1
3/1/17,5904.029785,1
3/2/17,5861.220215,-1
3/3/17,5870.75,1
3/6/17,5849.180176,-1
3/7/17,5833.930176,-1
3/8/17,5837.549805,1
3/9/17,5838.810059,1
3/10/17,5861.72998,1
3/13/17,5875.779785,1
3/14/17,5856.819824,-1
3/15/17,5900.049805,1
3/16/17,5900.759766,1
3/17/17,5901,1
3/20/17,5901.529785,1
3/21/17,5793.830078,-1
3/22/17,5821.640137,1
3/23/17,5817.689941,-1
3/24/17,5828.740234,1
3/27/17,5840.370117,1
3/28/17,5875.140137,1
3/29/17,5897.549805,1
3/30/17,5914.339844,1
3/31/17,5911.740234,-1
4/3/17,5894.680176,-1
4/4/17,5898.609863,1
4/5/17,5864.47998,-1
4/6/17,5878.950195,1
4/7/17,5877.810059,-1
4/10/17,5880.930176,1
4/11/17,5866.77002,-1
4/12/17,5836.160156,-1
4/13/17,5805.149902,-1
4/17/17,5856.790039,1
4/18/17,5849.470215,-1
4/19/17,5863.029785,1
4/20/17,5916.779785,1
4/21/17,5910.52002,-1
4/24/17,5983.819824,1
4/25/17,6025.490234,1
4/26/17,6025.22998,-1
4/27/17,6048.939941,1
4/28/17,6047.609863,-1
5/1/17,6091.600098,1
5/2/17,6095.370117,1
5/3/17,6072.549805,-1
5/4/17,6075.339844,1
5/5/17,6100.759766,1
5/8/17,6102.660156,1
5/9/17,6120.589844,1
5/10/17,6129.140137,1
5/11/17,6115.959961,-1
5/12/17,6121.22998,1
5/15/17,6149.669922,1
5/16/17,6169.870117,1
5/17/17,6011.240234,-1
5/18/17,6055.129883,1
5/19/17,6083.700195,1
5/22/17,6133.620117,1
5/23/17,6138.709961,1
5/24/17,6163.02002,1
5/25/17,6205.259766,1
5/26/17,6210.189941,1
5/30/17,6203.189941,-1
5/31/17,6198.52002,-1
6/1/17,6246.830078,1
6/2/17,6305.799805,1
6/5/17,6295.680176,-1
6/6/17,6275.060059,-1
6/7/17,6297.379883,1
6/8/17,6321.759766,1
6/9/17,6207.919922,-1
6/12/17,6175.459961,-1
6/13/17,6220.370117,1
6/14/17,6194.890137,-1
6/15/17,6165.5,-1
6/16/17,6151.759766,-1
6/19/17,6239.009766,1
6/20/17,6188.029785,-1
6/21/17,6233.950195,1
6/22/17,6236.689941,1
6/23/17,6265.25,1
6/26/17,6247.149902,-1
6/27/17,6146.620117,-1
6/28/17,6234.410156,1
6/29/17,6144.350098,-1
6/30/17,6140.419922,-1
7/3/17,6110.060059,-1
7/5/17,6150.859863,1
7/6/17,6089.459961,-1
7/7/17,6153.080078,1
7/10/17,6176.390137,1
7/11/17,6193.299805,1
7/12/17,6261.169922,1
7/13/17,6274.439941,1
7/14/17,6312.470215,1
7/17/17,6314.430176,1
7/18/17,6344.310059,1
7/19/17,6385.040039,1
7/20/17,6390,1
7/21/17,6387.75,-1
7/24/17,6410.810059,1
7/25/17,6412.169922,1
7/26/17,6422.75,1
7/27/17,6382.189941,-1
7/28/17,6374.680176,-1
7/31/17,6348.120117,-1
8/1/17,6362.939941,1
8/2/17,6362.649902,-1
8/3/17,6340.339844,-1
8/4/17,6351.560059,1
8/7/17,6383.77002,1
8/8/17,6370.459961,-1
8/9/17,6352.330078,-1
8/10/17,6216.870117,-1
8/11/17,6256.560059,1
8/14/17,6340.22998,1
8/15/17,6333.009766,-1
8/16/17,6345.109863,1
8/17/17,6221.910156,-1
8/18/17,6216.529785,-1
8/21/17,6213.129883,-1
8/22/17,6297.47998,1
8/23/17,6278.410156,-1
8/24/17,6271.330078,-1
8/25/17,6265.640137,-1
8/28/17,6283.02002,1
8/29/17,6301.890137,1
8/30/17,6368.310059,1
8/31/17,6428.660156,1
9/1/17,6435.330078,1
9/5/17,6375.569824,-1
9/6/17,6393.310059,1
9/7/17,6397.870117,1
9/8/17,6360.189941,-1
9/11/17,6432.259766,1
9/12/17,6454.279785,1
9/13/17,6460.189941,1
9/14/17,6429.080078,-1
9/15/17,6448.470215,1
9/18/17,6454.640137,1
9/19/17,6461.319824,1
9/20/17,6456.040039,-1
9/21/17,6422.689941,-1
9/22/17,6426.919922,1
9/25/17,6370.589844,-1
9/26/17,6380.160156,1
9/27/17,6453.259766,1
9/28/17,6453.450195,1
9/29/17,6495.959961,1
10/2/17,6516.720215,1
10/3/17,6531.709961,1
10/4/17,6534.629883,1
10/5/17,6585.359863,1
10/6/17,6590.180176,1
10/9/17,6579.72998,-1
10/10/17,6587.25,1
10/11/17,6603.549805,1
10/12/17,6591.509766,-1
10/13/17,6605.799805,1
10/16/17,6624,1
10/17/17,6623.660156,-1
10/18/17,6624.220215,1
10/19/17,6605.069824,-1
10/20/17,6629.049805,1
10/23/17,6586.830078,-1
10/24/17,6598.430176,1
10/25/17,6563.890137,-1
10/26/17,6556.77002,-1
10/27/17,6701.259766,1
10/30/17,6698.959961,-1
10/31/17,6727.669922,1
11/1/17,6716.529785,-1
11/2/17,6714.939941,-1
11/3/17,6764.439941,1
11/6/17,6786.439941,1
11/7/17,6767.779785,-1
11/8/17,6789.120117,1
11/9/17,6750.049805,-1
11/10/17,6750.939941,1
11/13/17,6757.600098,1
11/14/17,6737.870117,-1
11/15/17,6706.209961,-1
11/16/17,6793.290039,1
11/17/17,6782.790039,-1
11/20/17,6790.709961,1
11/21/17,6862.47998,1
11/22/17,6867.359863,1
11/24/17,6889.160156,1
11/27/17,6878.52002,-1
11/28/17,6912.359863,1
11/29/17,6824.390137,-1
11/30/17,6873.970215,1
12/1/17,6847.589844,-1
12/4/17,6775.370117,-1
12/5/17,6762.209961,-1
12/6/17,6776.379883,1
12/7/17,6812.839844,1
12/8/17,6840.080078,1
12/11/17,6875.080078,1
12/12/17,6862.319824,-1
12/13/17,6875.799805,1
12/14/17,6856.529785,-1
12/15/17,6936.580078,1
12/18/17,6994.759766,1
12/19/17,6963.850098,-1
12/20/17,6960.959961,-1
12/21/17,6965.359863,1
12/22/17,6959.959961,-1
12/26/17,6936.25,-1
12/27/17,6939.339844,1
12/28/17,6950.160156,1
12/29/17,6903.390137,-1
1/2/18,7006.899902,1
1/3/18,7065.529785,1
1/4/18,7077.910156,1
1/5/18,7136.560059,1
1/8/18,7157.390137,1
1/9/18,7163.580078,1
1/10/18,7153.569824,-1
1/11/18,7211.779785,1
1/12/18,7261.060059,1
1/16/18,7223.689941,-1
1/17/18,7298.279785,1
1/18/18,7296.049805,-1
1/19/18,7336.379883,1
1/22/18,7408.029785,1
1/23/18,7460.290039,1
1/24/18,7415.060059,-1
1/25/18,7411.160156,-1
1/26/18,7505.77002,1
1/29/18,7466.509766,-1
1/30/18,7402.47998,-1
1/31/18,7411.47998,1
2/1/18,7385.859863,-1
2/2/18,7240.950195,-1
2/5/18,6967.529785,-1
2/6/18,7115.879883,1
2/7/18,7051.97998,-1
2/8/18,6777.160156,-1
2/9/18,6874.490234,1
2/12/18,6981.959961,1
2/13/18,7013.509766,1
2/14/18,7143.620117,1
2/15/18,7256.430176,1
2/16/18,7239.470215,-1
2/20/18,7234.310059,-1
2/21/18,7218.22998,-1
2/22/18,7210.089844,-1
2/23/18,7337.390137,1
2/26/18,7421.459961,1
2/27/18,7330.350098,-1
2/28/18,7273.009766,-1
3/1/18,7180.560059,-1
3/2/18,7257.870117,1
3/5/18,7330.709961,1
3/6/18,7372.009766,1
3/7/18,7396.649902,1
3/8/18,7427.950195,1
3/9/18,7560.810059,1
3/12/18,7588.319824,1
3/13/18,7511.009766,-1
3/14/18,7496.810059,-1
3/15/18,7481.740234,-1
3/16/18,7481.990234,1
3/19/18,7344.240234,-1
3/20/18,7364.299805,1
3/21/18,7345.290039,-1
3/22/18,7166.680176,-1
3/23/18,6992.669922,-1
3/26/18,7220.540039,1
3/27/18,7008.810059,-1
3/28/18,6949.22998,-1
3/29/18,7063.450195,1
4/2/18,6870.120117,-1
4/3/18,6941.279785,1
4/4/18,7042.109863,1
4/5/18,7076.549805,1
4/6/18,6915.109863,-1
4/9/18,6950.339844,1
4/10/18,7094.299805,1
4/11/18,7069.029785,-1
4/12/18,7140.25,1
4/13/18,7106.649902,-1
4/16/18,7156.279785,1
