,close,trend
11/25/15,2088.870117,
11/27/15,2090.110107,1
11/30/15,2080.409912,-1
12/1/15,2102.629883,1
12/2/15,2079.51001,-1
12/3/15,2049.620117,-1
12/4/15,2091.689941,1
12/7/15,2077.070068,-1
12/8/15,2063.590088,-1
12/9/15,2047.619995,-1
12/10/15,2052.22998,1
12/11/15,2012.369995,-1
12/14/15,2021.939941,1
12/15/15,2043.410034,1
12/16/15,2073.070068,1
12/17/15,2041.890015,-1
12/18/15,2005.550049,-1
12/21/15,2021.150024,1
12/22/15,2038.969971,1
12/23/15,2064.290039,1
12/24/15,2060.98999,-1
12/28/15,2056.5,-1
12/29/15,2078.360107,1
12/30/15,2063.360107,-1
12/31/15,2043.939941,-1
1/4/16,2012.660034,-1
1/5/16,2016.709961,1
1/6/16,1990.26001,-1
1/7/16,1943.089966,-1
1/8/16,1922.030029,-1
1/11/16,1923.670044,1
1/12/16,1938.680054,1
1/13/16,1890.280029,-1
1/14/16,1921.839966,1
1/15/16,1880.329956,-1
1/19/16,1881.329956,1
1/20/16,1859.329956,-1
1/21/16,1868.98999,1
1/22/16,1906.900024,1
1/25/16,1877.079956,-1
1/26/16,1903.630005,1
1/27/16,1882.949951,-1
1/28/16,1893.359985,1
1/29/16,1940.23999,1
2/1/16,1939.380005,-1
2/2/16,1903.030029,-1
2/3/16,1912.530029,1
2/4/16,1915.449951,1
2/5/16,1880.050049,-1
2/8/16,1853.439941,-1
2/9/16,1852.209961,-1
2/10/16,1851.859985,-1
2/11/16,1829.079956,-1
2/12/16,1864.780029,1
2/16/16,1895.579956,1
2/17/16,1926.819946,1
2/18/16,1917.829956,-1
2/19/16,1917.780029,-1
2/22/16,1945.5,1
2/23/16,1921.27002,-1
2/24/16,1929.800049,1
2/25/16,1951.699951,1
2/26/16,1948.050049,-1
2/29/16,1932.22998,-1
3/1/16,1978.349976,1
3/2/16,1986.449951,1
3/3/16,1993.400024,1
3/4/16,1999.98999,1
3/7/16,2001.76001,1
3/8/16,1979.26001,-1
3/9/16,1989.26001,1
3/10/16,1989.569946,1
3/11/16,2022.189941,1
3/14/16,2019.640015,-1
3/15/16,2015.930054,-1
3/16/16,2027.219971,1
3/17/16,2040.589966,1
3/18/16,2049.580078,1
3/21/16,2051.600098,1
3/22/16,2049.800049,-1
3/23/16,2036.709961,-1
3/24/16,2035.939941,-1
3/28/16,2037.050049,1
3/29/16,2055.01001,1
3/30/16,2063.949951,1
3/31/16,2059.73999,-1
4/1/16,2072.780029,1
4/4/16,2066.129883,-1
4/5/16,2045.170044,-1
4/6/16,2066.659912,1
4/7/16,2041.910034,-1
4/8/16,2047.599976,1
4/11/16,2041.98999,-1
4/12/16,2061.719971,1
4/13/16,2082.419922,1
4/14/16,2082.780029,1
4/15/16,2080.72998,-1
4/18/16,2094.340088,1
4/19/16,2100.800049,1
4/20/16,2102.399902,1
4/21/16,2091.47998,-1
4/22/16,2091.580078,1
4/25/16,2087.790039,-1
4/26/16,2091.699951,1
4/27/16,2095.149902,1
4/28/16,2075.810059,-1
4/29/16,2065.300049,-1
5/2/16,2081.429932,1
5/3/16,2063.370117,-1
5/4/16,2051.120117,-1
5/5/16,2050.629883,-1
5/6/16,2057.139893,1
5/9/16,2058.689941,1
5/10/16,2084.389893,1
5/11/16,2064.459961,-1
5/12/16,2064.110107,-1
5/13/16,2046.609985,-1
5/16/16,2066.659912,1
5/17/16,2047.209961,-1
5/18/16,2047.630005,1
5/19/16,2040.040039,-1
5/20/16,2052.320068,1
5/23/16,2048.040039,-1
5/24/16,2076.060059,1
5/25/16,2090.540039,1
5/26/16,2090.100098,-1
5/27/16,2099.060059,1
5/31/16,2096.949951,-1
6/1/16,2099.330078,1
6/2/16,2105.26001,1
6/3/16,2099.129883,-1
6/6/16,2109.409912,1
6/7/16,2112.129883,1
6/8/16,2119.120117,1
6/9/16,2115.47998,-1
6/10/16,2096.070068,-1
6/13/16,2079.060059,-1
6/14/16,2075.320068,-1
6/15/16,2071.5,-1
6/16/16,2077.98999,1
6/17/16,2071.219971,-1
6/20/16,2083.25,1
6/21/16,2088.899902,1
6/22/16,2085.449951,-1
6/23/16,2113.320068,1
6/24/16,2037.410034,-1
6/27/16,2000.540039,-1
6/28/16,2036.089966,1
6/29/16,2070.77002,1
6/30/16,2098.860107,1
7/1/16,2102.949951,1
7/5/16,2088.550049,-1
7/6/16,2099.72998,1
7/7/16,2097.899902,-1
7/8/16,2129.899902,1
7/11/16,2137.159912,1
7/12/16,2152.139893,1
7/13/16,2152.429932,1
7/14/16,2163.75,1
7/15/16,2161.73999,-1
7/18/16,2166.889893,1
7/19/16,2163.780029,-1
7/20/16,2173.02002,1
7/21/16,2165.169922,-1
7/22/16,2175.030029,1
7/25/16,2168.47998,-1
7/26/16,2169.179932,1
7/27/16,2166.580078,-1
7/28/16,2170.060059,1
7/29/16,2173.600098,1
8/1/16,2170.840088,-1
8/2/16,2157.030029,-1
8/3/16,2163.790039,1
8/4/16,2164.25,1
8/5/16,2182.870117,1
8/8/16,2180.889893,-1
8/9/16,2181.73999,1
8/10/16,2175.48999,-1
8/11/16,2185.790039,1
8/12/16,2184.050049,-1
8/15/16,2190.149902,1
8/16/16,2178.149902,-1
8/17/16,2182.219971,1
8/18/16,2187.02002,1
8/19/16,2183.870117,-1
8/22/16,2182.639893,-1
8/23/16,2186.899902,1
8/24/16,2175.439941,-1
8/25/16,2172.469971,-1
8/26/16,2169.040039,-1
8/29/16,2180.379883,1
8/30/16,2176.120117,-1
8/31/16,2170.949951,-1
9/1/16,2170.860107,-1
9/2/16,2179.97998,1
9/6/16,2186.47998,1
9/7/16,2186.159912,-1
9/8/16,2181.300049,-1
9/9/16,2127.810059,-1
9/12/16,2159.040039,1
9/13/16,2127.02002,-1
9/14/16,2125.77002,-1
9/15/16,2147.26001,1
9/16/16,2139.159912,-1
9/19/16,2139.120117,-1
9/20/16,2139.76001,1
9/21/16,2163.120117,1
9/22/16,2177.179932,1
9/23/16,2164.689941,-1
9/26/16,2146.100098,-1
9/27/16,2159.929932,1
9/28/16,2171.370117,1
9/29/16,2151.129883,-1
9/30/16,2168.27002,1
10/3/16,2161.199951,-1
10/4/16,2150.48999,-1
10/5/16,2159.72998,1
10/6/16,2160.77002,1
10/7/16,2153.73999,-1
10/10/16,2163.659912,1
10/11/16,2136.72998,-1
10/12/16,2139.179932,1
10/13/16,2132.550049,-1
10/14/16,2132.97998,1
10/17/16,2126.5,-1
10/18/16,2139.600098,1
10/19/16,2144.290039,1
10/20/16,2141.340088,-1
10/21/16,2141.159912,-1
10/24/16,2151.330078,1
10/25/16,2143.159912,-1
10/26/16,2139.429932,-1
10/27/16,2133.040039,-1
10/28/16,2126.409912,-1
10/31/16,2126.149902,-1
11/1/16,2111.719971,-1
11/2/16,2097.939941,-1
11/3/16,2088.659912,-1
11/4/16,2085.179932,-1
11/7/16,2131.52002,1
11/8/16,2139.560059,1
11/9/16,2163.26001,1
11/10/16,2167.47998,1
11/11/16,2164.449951,-1
11/14/16,2164.199951,-1
11/15/16,2180.389893,1
11/16/16,2176.939941,-1
11/17/16,2187.120117,1
11/18/16,2181.899902,-1
11/21/16,2198.179932,1
11/22/16,2202.939941,1
11/23/16,2204.719971,1
11/25/16,2213.350098,1
11/28/16,2201.719971,-1
11/29/16,2204.659912,1
11/30/16,2198.810059,-1
12/1/16,2191.080078,-1
12/2/16,2191.949951,1
12/5/16,2204.709961,1
12/6/16,2212.22998,1
12/7/16,2241.350098,1
12/8/16,2246.189941,1
12/9/16,2259.530029,1
12/12/16,2256.959961,-1
12/13/16,2271.719971,1
12/14/16,2253.280029,-1
12/15/16,2262.030029,1
12/16/16,2258.070068,-1
12/19/16,2262.530029,1
12/20/16,2270.76001,1
12/21/16,2265.179932,-1
12/22/16,2260.959961,-1
12/23/16,2263.790039,1
12/27/16,2268.879883,1
12/28/16,2249.919922,-1
12/29/16,2249.26001,-1
12/30/16,2238.830078,-1
1/3/17,2257.830078,1
1/4/17,2270.75,1
1/5/17,2269,-1
1/6/17,2276.97998,1
1/9/17,2268.899902,-1
1/10/17,2268.899902,0
1/11/17,2275.320068,1
1/12/17,2270.439941,-1
1/13/17,2274.639893,1
1/17/17,2267.889893,-1
1/18/17,2271.889893,1
1/19/17,2263.689941,-1
1/20/17,2271.310059,1
1/23/17,2265.199951,-1
1/24/17,2280.070068,1
1/25/17,2298.370117,1
1/26/17,2296.679932,-1
1/27/17,2294.689941,-1
1/30/17,2280.899902,-1
1/31/17,2278.870117,-1
2/1/17,2279.550049,1
2/2/17,2280.850098,1
2/3/17,2297.419922,1
2/6/17,2292.560059,-1
2/7/17,2293.080078,1
2/8/17,2294.669922,1
2/9/17,2307.870117,1
2/10/17,2316.100098,1
2/13/17,2328.25,1
2/14/17,2337.580078,1
2/15/17,2349.25,1
2/16/17,2347.219971,-1
2/17/17,2351.159912,1
2/21/17,2365.379883,1
2/22/17,2362.820068,-1
2/23/17,2363.810059,1
2/24/17,2367.340088,1
2/27/17,2369.75,1
2/28/17,2363.639893,-1
3/1/17,2395.959961,1
3/2/17,2381.919922,-1
3/3/17,2383.120117,1
3/6/17,2375.310059,-1
3/7/17,2368.389893,-1
3/8/17,2362.97998,-1
3/9/17,2364.870117,1
3/10/17,2372.600098,1
3/13/17,2373.469971,1
3/14/17,2365.449951,-1
3/15/17,2385.26001,1
3/16/17,2381.379883,-1
3/17/17,2378.25,-1
3/20/17,2373.469971,-1
3/21/17,2344.02002,-1
3/22/17,2348.449951,1
3/23/17,2345.959961,-1
3/24/17,2343.97998,-1
3/27/17,2341.590088,-1
3/28/17,2358.570068,1
3/29/17,2361.129883,1
3/30/17,2368.060059,1
3/31/17,2362.719971,-1
